17,0:17 hobi & kookie so kyeopta~ ^.^,0,0.2263
20,0:20 is how jungkook looks when he opens the front camera :-),0,0.3182
53,"0:53 he is levitating.
If someoe tell me that JHope is ugly that person don´t know what is the truth beauty.
Jungkook looks like a cute baby.",2,0.8074
